iter	RMSE
0	427813.8349
1	412117.6057
2	398583.0481
3	386234.2568
4	374896.3302
5	367144.5961
6	358686.9673
7	350980.1868
8	342377.7885
9	335337.5656
10	329633.3413
11	323990.304
12	319424.1167
13	314170.0842
14	309793.5324
15	305223.1312
16	300767.6261
17	297609.3526
18	295001.7427
19	292859.8432
20	290419.5571
21	288752.4053
22	286021.2766
23	282989.0084
24	280293.4636
25	277015.9478
26	274887.4903
27	273091.2995
28	271686.2635
29	269551.532
30	268258.03
31	267102.5539
32	265868.6734
33	264166.7736
34	262841.2343
35	261566.7869
36	259949.9965
37	258710.3849
38	257576.3651
39	256323.1834
40	254466.2379
41	253509.2824
42	252430.2609
43	251592.9405
44	250530.1602
45	250175.492
46	249705.3908
47	248616.542
48	247929.3504
49	247269.8669
50	246369.7762
51	245637.8667
52	245260.0734
53	245106.7039
54	244713.7563
55	244164.1564
56	243615.3712
57	242979.7047
58	242448.644
59	242276.8412
60	241867.7274
61	240850.0902
62	240143.8346
63	239756.4273
64	238933.2686
65	238690.511
66	238373.1015
67	237532.594
68	236917.4455
69	236313.5029
70	235986.4478
71	235614.8721
72	235165.2715
73	234876.1893
74	234611.8344
75	234300.5835
76	233697.7561
77	233480.1487
78	233300.2178
79	232837.1597
80	232151.8203
81	231948.696
82	231779.3278
83	231281.0873
84	230915.0149
85	230673.2737
86	230488.5356
87	229888.1341
88	228995.9324
89	228375.3343
90	228058.6953
91	227891.6431
92	227693.6758
93	227408.3143
94	227127.1402
95	226357.3186
96	225749.2162
97	225141.3128
98	224282.344
99	223680.5521
100	223485.4051
101	223409.3984
102	223069.3135
103	222831.7672
104	222784.2965
105	222657.0786
106	222539.1049
107	222259.3433
108	222111.8821
109	222008.716
110	220703.3652
111	220566.1745
112	220536.3893
113	220450.0659
114	220383.1059
115	220197.8016
116	220075.7015
117	219948.352
118	219453.7118
119	219233.6927
120	218850.5162
121	218727.4442
122	218569.0449
123	218454.4934
124	218315.687
125	218191.6508
126	217377.5225
127	216201.4188
128	216142.6636
129	216082.9505
130	216029.9481
131	215929.175
132	215787.3167
133	215620.8259
134	215579.8899
135	215541.4747
136	215502.8267
137	215456.5684
138	214984.8577
139	214950.0944
140	214372.1108
141	213927.1705
142	213471.4106
143	212337.4473
144	212304.5878
145	212275.1415
146	212127.2308
147	211870.0277
148	211026.8497
149	210949.4922
150	210916.7071
151	210573.3221
152	210069.4383
153	209433.3316
154	209204.1114
155	209124.2159
156	208741.1436
157	208641.3116
158	208599.8566
159	208435.3871
160	208403.3189
161	208230.2805
162	207661.435
163	207357.82
164	206769.7242
165	206086.4505
166	205485.5118
167	205327.72
168	205199.2371
169	204966.0711
170	204668.1521
171	204632.2806
172	204487.2598
173	203774.3496
174	203580.6283
175	203488.8089
176	203276.7837
177	203216.0965
178	202586.9827
179	202526.2118
180	202165.634
181	202124.0885
182	202088.1605
183	201866.4735
184	201747.8541
185	201384.1638
186	201325.2262
187	200928.7116
188	200793.5531
189	200276.6528
190	200224.8352
191	200173.9467
192	200129.3267
193	200117.2617
194	200072.0613
195	199534.0969
196	199114.9735
197	199100.1418
198	198744.1977
199	198560.9864
200	198465.0565
201	198409.8306
202	198030.9441
203	197979.2862
204	197665.0849
205	197444.7865
206	197322.7624
207	196635.5299
208	196293.5872
209	196144.2135
210	196046.4888
211	195525.758
212	195356.8622
213	195219.2047
214	194634.3131
215	194327.9612
216	193902.6106
217	193345.6155
218	193054.0293
219	192642.8775
220	192451.1969
221	192426.3353
222	192342.2196
223	192153.517
224	191809.2442
225	191561.7885
226	191290.2919
227	191041.6835
228	190909.4526
229	190610.8922
230	190224.6505
231	190158.4688
232	189848.7733
233	189292.4242
234	188825.0602
235	188629.2936
236	188336.0276
237	188067.83
238	187344.6794
239	187190.7287
240	187135.2268
241	186883.023
242	186610.9241
243	186408.6508
244	186228.106
245	185946.9014
246	185623.3402
247	185375.908
248	185100.7552
249	184791.9426
250	184613.2261
251	184463.5744
252	184024.2109
253	183624.811
254	183367.4996
255	182957.8464
256	182713.399
257	182479.8092
258	182316.6932
259	182111.398
260	181994.1032
261	181899.4422
262	181465.3494
263	181253.6947
264	181166.0599
265	180874.9321
266	180465.2414
267	180432.8675
268	180403.1457
269	180325.2988
270	179827.0199
271	179410.6173
272	179395.768
273	178961.5467
274	178542.074
275	178257.3443
276	178184.5293
277	177837.1772
278	177516.3578
279	177378.2632
280	177017.3674
281	176948.4922
282	176739.6391
283	176678.6776
284	176398.7708
285	176077.2738
286	175923.0613
287	175771.7894
288	175520.2491
289	175046.5151
290	174914.5476
291	174488.8103
292	174233.0629
293	174000.7814
294	173832.5771
295	173547.8837
296	173357.1468
297	173230.8116
298	173208.1248
299	172908.7189
