iter	Passed	Remaining
0	14	4423
1	38	5679
2	62	6206
3	81	6006
4	92	5466
5	112	5525
6	130	5461
7	147	5370
8	167	5412
9	184	5347
10	201	5305
11	215	5168
12	228	5047
13	242	4963
14	259	4922
15	275	4885
16	290	4830
17	329	5157
18	369	5469
19	411	5758
20	433	5762
21	451	5703
22	513	6189
23	543	6247
24	579	6377
25	629	6633
26	653	6607
27	681	6623
28	712	6662
29	729	6569
30	740	6428
31	752	6301
32	761	6159
33	771	6034
34	780	5909
35	791	5804
36	802	5704
37	813	5608
38	826	5532
39	839	5456
40	853	5393
41	868	5333
42	882	5274
43	896	5213
44	907	5141
45	920	5083
46	932	5018
47	943	4955
48	956	4900
49	970	4851
50	983	4800
51	993	4738
52	1006	4690
53	1012	4611
54	1020	4545
55	1030	4488
56	1040	4435
57	1049	4378
58	1058	4325
59	1069	4277
60	1079	4231
61	1091	4190
62	1101	4144
63	1111	4098
64	1123	4061
65	1134	4021
66	1145	3984
67	1157	3948
68	1168	3913
69	1182	3886
70	1195	3854
71	1207	3822
72	1217	3786
73	1231	3760
74	1242	3728
75	1250	3686
76	1263	3658
77	1274	3627
78	1286	3597
79	1295	3561
80	1304	3526
81	1313	3492
82	1324	3462
83	1335	3433
84	1346	3405
85	1356	3375
86	1366	3344
87	1380	3325
88	1391	3297
89	1404	3276
90	1415	3250
91	1427	3227
92	1441	3208
93	1454	3187
94	1468	3169
95	1482	3149
96	1493	3125
97	1506	3105
98	1518	3083
99	1529	3059
100	1541	3036
101	1551	3012
102	1562	2988
103	1575	2968
104	1583	2941
105	1591	2913
106	1598	2883
107	1609	2862
108	1617	2834
109	1626	2809
110	1639	2790
111	1648	2767
112	1658	2744
113	1671	2726
114	1680	2703
115	1692	2684
116	1702	2663
117	1711	2639
118	1719	2615
119	1727	2591
120	1738	2572
121	1746	2547
122	1754	2525
123	1764	2503
124	1774	2484
125	1785	2466
126	1795	2445
127	1805	2426
128	1814	2405
129	1822	2383
130	1833	2365
131	1843	2346
132	1854	2328
133	1864	2309
134	1872	2288
135	1879	2266
136	1886	2243
137	1891	2220
138	1903	2204
139	1909	2182
140	1920	2165
141	1930	2148
142	1940	2130
143	1950	2113
144	1960	2096
145	1967	2075
146	1977	2058
147	1986	2040
148	1995	2022
149	2004	2004
150	2011	1985
151	2020	1967
152	2030	1950
153	2039	1933
154	2049	1917
155	2058	1900
156	2067	1883
157	2076	1866
158	2086	1850
159	2096	1834
160	2106	1818
161	2115	1802
162	2126	1787
163	2137	1772
164	2147	1757
165	2157	1741
166	2167	1726
167	2177	1711
168	2185	1694
169	2194	1678
170	2204	1663
171	2214	1647
172	2223	1632
173	2232	1616
174	2243	1602
175	2252	1586
176	2261	1571
177	2272	1557
178	2281	1542
179	2289	1526
180	2299	1511
181	2308	1496
182	2315	1480
183	2323	1464
184	2330	1448
185	2340	1434
186	2348	1418
187	2358	1404
188	2367	1390
189	2377	1376
190	2387	1362
191	2394	1346
192	2404	1332
193	2411	1317
194	2418	1302
195	2428	1288
196	2439	1275
197	2449	1261
198	2462	1249
199	2473	1236
200	2483	1223
201	2493	1209
202	2501	1195
203	2510	1181
204	2521	1168
205	2532	1155
206	2540	1141
207	2552	1128
208	2564	1116
209	2570	1101
210	2578	1087
211	2587	1073
212	2598	1061
213	2608	1048
214	2618	1035
215	2630	1022
216	2639	1009
217	2650	996
218	2658	983
219	2670	970
220	2679	957
221	2688	944
222	2698	931
223	2707	918
224	2718	906
225	2727	893
226	2735	879
227	2743	866
228	2753	853
229	2766	841
230	2776	829
231	2786	816
232	2796	804
233	2808	792
234	2819	779
235	2829	767
236	2839	754
237	2850	742
238	2860	730
239	2869	717
240	2878	704
241	2886	691
242	2896	679
243	2909	667
244	2919	655
245	2930	643
246	2940	631
247	2950	618
248	2959	606
249	2968	593
250	2979	581
251	2990	569
252	2999	557
253	3010	545
254	3019	532
255	3028	520
256	3038	508
257	3048	496
258	3058	484
259	3067	471
260	3075	459
261	3083	447
262	3093	435
263	3102	423
264	3108	410
265	3118	398
266	3129	386
267	3136	374
268	3144	362
269	3152	350
270	3162	338
271	3174	326
272	3185	315
273	3195	303
274	3206	291
275	3215	279
276	3222	267
277	3232	255
278	3241	243
279	3251	232
280	3262	220
281	3275	209
282	3287	197
283	3293	185
284	3306	174
285	3317	162
286	3327	150
287	3337	139
288	3344	127
289	3353	115
290	3361	103
291	3372	92
292	3383	80
293	3391	69
294	3399	57
295	3406	46
296	3416	34
297	3426	22
298	3434	11
299	3445	0
