budget,casting,director,distributor,duration,entries,film_id,genres,img_src,nationality,release,synopsis,title
,Alicia Vikander|Jude Law|Eddie Marsan|Sam Riley|Simon Russell Beale|Erin Doherty|Amr Waked|Patsy Ferran,Karim Aïnouz,ARP Sélection,120,106872,294377,Drame|Historique,https://fr.web.img2.acsta.net/c_310_420/pictures/23/08/31/09/14/5563343.jpg,U.S.A.|Grande-Bretagne,2024-03-27,"Catherine Parr est la sixième femme du roi Henri VIII, dont les précédentes épouses ont été soit répudiées, soit décapitées (une seule étant décédée suite à une maladie). Avec l’aide de ses dames de compagnie, elle tente de déjouer les pièges que lui tendent l’évêque, la cour et le roi…",Le Jeu de la reine
,Guillaume Canet|Alba Rohrwacher|Sharif Andoura|Marie Drucker|Emmy Boissard Paumelle|Lucette Beudin|Gilberte Bellus|Hugo Dillon|Stéphane Brizé,Stéphane Brizé,Gaumont Distribution,106,114495,309546,Comédie|Comédie dramatique|Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/09/12/08/0310575.jpg,France,2024-03-20,"Mathieu habite Paris, Alice vit dans une petite cité balnéaire dans l’ouest de la France. Il caresse la cinquantaine, c’est un acteur connu. Elle a dépassé la quarantaine, elle est professeure de piano. Ils se sont aimés il y a une quinzaine d’années. Puis séparés. Depuis, le temps est passé, chacun a suivi sa route et les plaies se sont refermées peu à peu. Quand Mathieu vient diluer sa mélancolie dans les bains à remous d’une thalasso, il retrouve Alice par hasard.",Hors-saison
,Paola Cortellesi|Valerio Mastandrea|Romana Maggiora Vergano|Emanuela Fanelli|Giorgio Colangeli|Vinicio Marchioni|Francesco Centorame|Raffaele Vannoli,Paola Cortellesi,Universal Pictures International France,118,145340,321520,Comédie|Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/04/15/30/4203338.jpg,Italie,2024-03-13,"Mariée à Ivano, Delia, mère de trois enfants, vit à Rome dans la seconde moitié des années 40. La ville est alors partagée entre l’espoir né de la Libération et les difficultés matérielles engendrées par la guerre qui vient à peine de s’achever. Face à son mari autoritaire et violent, Delia ne trouve du réconfort qu’auprès de son amie Marisa avec qui elle partage des moments de légèreté et des confidences intimes. Leur routine morose prend fin au printemps, lorsque toute la famille en émoi s’apprête à célébrer les fiançailles imminentes de leur fille aînée, Marcella. Mais l’arrivée d’une lettre mystérieuse va tout bouleverser et pousser Delia à trouver le courage d’imaginer un avenir meilleur, et pas seulement pour elle-même.",Il reste encore demain
,Michèle Laroque|Claudia Tagbo|David Mora|Sébastien Chassagne|Jochen Hägele|Aaliyah Lexilus|Mahily Dement Elismar|Victoria Monfort,Stéphane Ben Lahcene,UGC Distribution,89,116784,311631,Comédie,https://fr.web.img2.acsta.net/c_310_420/pictures/23/12/14/16/16/5709345.jpg,France,2024-03-20,"Après une soirée pleine d’excès, Bénédicte, célèbre chanteuse d’opéra, voit sa carrière s’écrouler. Fatou, passionnée de karaoké, est la seule à lui tendre la main. Elle a une idée derrière la tête : convaincre Bénédicte de participer au grand concours national de karaoké. La parfaite maîtrise vocale de l’une et la ténacité de l’autre pourraient bien faire des étincelles et les amener très loin.",Karaoké
,Jack Black|Awkwafina|Viola Davis|Dustin Hoffman|James Hong|Bryan Cranston|Ian McShane|Ke Huy Quan|Manu Payet|Pierre Arditi,Mike Mitchell (V)|Stephanie Stine,Universal Pictures International France,94,825898,306226,Aventure|Animation|Comédie|Famille|Arts Martiaux,https://fr.web.img4.acsta.net/c_310_420/pictures/24/02/20/12/28/5505684.jpg,U.S.A.,2024-03-27,"Après trois aventures dans lesquelles le guerrier dragon Po a combattu les maîtres du mal les plus redoutables grâce à un courage et des compétences en arts martiaux inégalés, le destin va de nouveau frapper à sa porte pour … l’inviter à enfin se reposer. Plus précisément, pour être nommé chef spirituel de la vallée de la Paix. Cela pose quelques problèmes évidents. Premièrement, Po maîtrise aussi bien le leadership spirituel que les régimes, et deuxièmement, il doit rapidement trouver et entraîner un nouveau guerrier dragon avant de pouvoir profiter des avantages de sa prestigieuse promotion. Pire encore, il est question de l’apparition récente d’une sorcière aussi mal intentionnée que puissante, Caméléone, une lézarde minuscule qui peut se métamorphoser en n'importe quelle créature, et ce sans distinction de taille. Or Caméléone lorgne de ses petits yeux avides et perçants sur le bâton de sagesse de Po, à l’aide duquel elle espère bien pouvoir réinvoquer du royaume des esprits tous les maîtres maléfiques que notre guerrier dragon a vaincu. Po va devoir trouver de l’aide. Il va en trouver (ou pas ?) auprès de Zhen, une renarde corsac, voleuse aussi rusée que vive d'esprit, qui a le don d’irriter Po mais dont les compétences vont s’avérer précieuses. Afin de réussir à protéger la Vallée de la Paix des griffes reptiliennes de Caméléone, ce drôle de duo va devoir trouver un terrain d’entente. Ce sera l’occasion pour Po de découvrir que les héros ne sont pas toujours là où on les attend.",Kung Fu Panda 4
,Alexandra Lamy|Félix Moati|Sofian Khammes|Julie Chen|Antoine Bertrand|David Chin|Adam Fitzgerald|Philippe Torreton,Edouard Bergeon,Diaphana Distribution,124,176281,314138,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/24/02/08/10/03/0470969.jpg,France|Belgique,2024-03-27,"Pour tenter de sauver son fils Martin injustement condamné à mort en Indonésie, Carole se lance dans un combat inégal contre les exploitants d’huile de palme responsables de la déforestation et contre les puissants lobbies industriels.",La Promesse verte
,Maxime Gasteuil|Zabou Breitman|Romain Lancry|Lionel Abelanski|Chantal Lauby|Michel Boujenah|Bernard Farcy|Anne Serra,Edouard Pluvieux,Wild Bunch Distribution,96,126678,316137,Comédie,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/23/15/15/3724302.jpg,France,2024-03-06,"Maxime, cadre ambitieux et cartésien, ne pense qu'à sa carrière et à son futur mariage avec Nadège, la fille de son patron. Au bord du burn-out, seul à ne pas s'en rendre compte, il se retrouve embarqué par son futur beau-frère Romain au beau milieu de son pire cauchemar... Un stage de bien-être encadré par Clara et Luc, un couple de « clairvoyants », avec des stagiaires plus lunaires les uns que les autres.14 jours pour aller mieux, au cours desquels ses principes et préjugés vont être soumis au régime zénitude et bienveillance !",14 jours pour aller mieux
,Timothée Chalamet|Zendaya|Rebecca Ferguson|Josh Brolin|Austin Butler|Florence Pugh|Dave Bautista|Christopher Walken,Denis Villeneuve,Warner Bros. France,166,1383999,278742,Drame|Science Fiction,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/26/10/18/5392835.jpg,U.S.A.,2024-02-28,"Dans DUNE : DEUXIÈME PARTIE, Paul Atreides s’unit à Chani et aux Fremen pour mener la révolte contre ceux qui ont anéanti sa famille. Hanté par de sombres prémonitions, il se trouve confronté au plus grand des dilemmes : choisir entre l’amour de sa vie et le destin de l’univers.",Dune : Deuxième Partie
,Olivia Colman|Jessie Buckley|Anjana Vasan|Joanna Scanlan|Gemma Jones|Malachi Kirby|Lolly Adefope|Eileen Atkins,Thea Sharrock,StudioCanal,100,51921,304573,Comédie|Policier|Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/30/11/42/4484085.jpg,Grande-Bretagne|France,2024-03-13,"Littlehampton, 1920. Lorsque Edith Swan commence à recevoir des lettres anonymes truffées d'injures, Rose Gooding, sa voisine irlandaise à l’esprit libre et au langage fleuri, est rapidement accusée des crimes. Toute la petite ville, concernée par cette affaire, s’en mêle. L'officière de police Gladys Moss, rapidement suivie par les femmes de la ville, mène alors sa propre enquête : elles soupçonnent que quelque chose cloche et que Rose pourrait ne pas être la véritable coupable, victime des mœurs abusives de son époque...",Scandaleusement vôtre
,DeWanda Wise|Tom Payne (II)|Taegen Burns|Pyper Braun|Veronica Falcon|Betty Buckley|Matt Sato|Dane DiLiegro,Jeff Wadlow,Metropolitan FilmExport,105,89440,313712,Epouvante-horreur|Thriller,https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/01/13/03/0156473.jpg,U.S.A.,2024-03-06,"Lorsque Jessica retourne dans sa maison d’enfance avec sa famille, sa plus jeune belle-fille Alice développe un attachement étrange pour un ours en peluche qu’elle a trouvé dans le sous-sol et nommé Chauncey. Tout commence par des jeux innocents, mais le comportement d’Alice devient de plus en plus inquiétant. Jessica comprend alors que Chauncey est bien plus qu'un simple jouet…",Imaginary
