casting,director,duration,entries,film_id,genres,img_src,press_ratings,release,societies,synopsis,title,viewers_ratings
Eva Löbau|Sarah Bauerett|Can Rodenbostel|Padmé Hamdemir|Anne-Kathrin Gummich|Elsa Krieger|Kathrin Wehlisch|Lisa Marie Trense|Oscar Zickur|Vincent Stachowiak|Antonia Küpper|Leonie Benesch|Michael Klammer|Rafael Stachowiak,İlker Çatak,99,90612,294240,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/31/10/38/5852912.jpg,3.8,6 mars 2024,"if... Productions,Be For Films,Tandem","Alors qu'une série de vols a lieu en salle des profs, Carla Nowak mène l'enquête dans le collège où elle enseigne. Très vite, tout l'établissement est ébranlé par ses découvertes.",La Salle des profs,3.9
Joniece Jamison|Emmanuelle Devos|Jeanne Balibar|Max Harter|Mélodie Adda|Marie Denarnaud|Serge Riaboukine|François Alu|Sophie Guillemin|Jelle De Beule|Florence Ben Sadoun|Katia Tchenko|Jean-Chrétien Sibertin-Blanc|Bruno Fleury|Anne Alvaro|Doria Tillier|Romeo Spadone|Raphaël Personnaz|Raphael Cohen (II)|Constance Verluca|Vincent Perez,Anne Fontaine,120,177724,286292,Biopic,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/26/11/07/0253122.jpg,3.4,6 mars 2024,"France 2 Cinéma,SND,SND,Cinéfrance,F Comme Film,Ciné-@,Artémis Productions","En 1928, alors que Paris vit au rythme des années folles, la danseuse Ida Rubinstein commande à Maurice Ravel la musique de son prochain ballet. Tétanisé et en panne d’inspiration, le compositeur feuillette les pages de sa vie - les échecs de ses débuts, la fracture de la Grande Guerre, l’amour impossible qu’il éprouve pour sa muse Misia Sert… Ravel va alors plonger au plus profond de lui-même pour créer son oeuvre universelle, le Bolero.",Bolero,3.3
Léa Seydoux|Hopi Grace|Hamza Baissa|Huw Novelli|Stellan Skarsgård|Charlotte Rampling|Amer El-Erwadi|Rebecca Ferguson|Babs Olusanmokun|Florence Pugh|Remi Fadare|Alison Halstead|Giusi Merli|Havin Fathi|Timothée Chalamet|Javier Bardem|Imola Gaspar|Stephen McKinley Henderson|Dave Bautista|Austin Butler|Omar Elbooz|Cat Simmons|Abdelkarim Hussein Seli Mohamed|Zendaya|Souheila Yacoub|Anya Taylor-Joy|Hassanin|Alison Adnet|Jasper Ryan-Cater|Kait Tenison|Laura Mizere|Christopher Walken|Hassan Najib|Josh Brolin|Serhat Metin|Tara Breathnach|Amra Mallassi|Moe Bar-El|Joseph Beddelem|Roger Yuan,Denis Villeneuve,166,1383999,278742,Science Fiction|Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/26/10/18/5392835.jpg,4.2,28 février 2024,"Warner Bros. France,Legendary Pictures,Warner Bros. Pictures,Warner Bros. Pictures","Dans DUNE : DEUXIÈME PARTIE, Paul Atreides s’unit à Chani et aux Fremen pour mener la révolte contre ceux qui ont anéanti sa famille. Hanté par de sombres prémonitions, il se trouve confronté au plus grand des dilemmes : choisir entre l’amour de sa vie et le destin de l’univers.",Dune : Deuxième Partie,4.5
Fabrice Eboué|Guy Lecluyse|Victor Meutelet|Vincent Pasdermadjian|Anouk Grinberg|Yasin Houicha|Pauline Clément|Sami Outalbali|Louise Coldefy|Mathieu Lourdel|Ayumi Roux|Sam Karmann|Esteban Hernandez-Sanchez|Illyès Salah|Inès Angelina Mnafek-Amandio|Audrey Lamy,Maxime Govare,103,136628,316138,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/17/11/50/4118109.jpg,3.6,13 mars 2024,"Warner Bros. France,Charades","1 chance sur 19 millions. Plus de probabilité d’être frappé par une météorite que de gagner au loto. Pour nos heureux gagnants, le rêve va rapidement se transformer en cauchemar, et leur vie va voler en éclat dans un spectaculaire feu d’artifices de comédie noire et de sensations fortes.",Heureux gagnants,3.5
Imogen Kogge|Christian Friedel|Stephanie Petrowitz|Medusa Knopf|Maximilian Beck|Sandra Hüller|Kalman Wilson|Julia Polaczek,Jonathan Glazer,105,239108,266159,Guerre|Drame|Historique,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/12/14/37/2282076.jpg,4.1,31 janvier 2024,"Bac Films,Film4,A24,House Productions,Extreme Emotions","Le commandant d’Auschwitz, Rudolf Höss, et sa femme Hedwig s’efforcent de construire une vie de rêve pour leur famille dans une maison avec jardin à côté du camp.",La Zone d'intérêt,3.8
Olivia Colman|Richard Goulding|Malachi Kirby|Alisha Weir|Eileen Atkins|Lolly Adefope|Timothy Spall|Hugh Skinner|Anjana Vasan|Paul Chahidi|Gemma Jones|Jason Watkins|Joanna Scanlan|Jessie Buckley,Thea Sharrock,100,51921,304573,Policier|Comédie|Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/30/11/42/4484085.jpg,3.3,13 mars 2024,"StudioCanal,StudioCanal,StudioCanal,Blueprint Pictures,Film4","Littlehampton, 1920. Lorsque Edith Swan commence à recevoir des lettres anonymes truffées d'injures, Rose Gooding, sa voisine irlandaise à l’esprit libre et au langage fleuri, est rapidement accusée des crimes. Toute la petite ville, concernée par cette affaire, s’en mêle. L'officière de police Gladys Moss, rapidement suivie par les femmes de la ville, mène alors sa propre enquête : elles soupçonnent que quelque chose cloche et que Rose pourrait ne pas être la véritable coupable, victime des mœurs abusives de son époque...",Scandaleusement vôtre,3.7
Lydie Muller|Noémie Zeitoun|Aurélien Ferréol|Rosita Dadoun Fernandez|Nicolas Bourgasser|Coline Ramos-Pinto|Franck Beckmann|Agnès Jaoui|Alison Wheeler|Salif Cissé|Thaïs Vauquières|Hortense Gélinet|Stéphane Pétillot|Serge Feuillard|Serpentine Teyssier|William Lebghil|Natacha Davidovic|Mouad Habrani|Terrence Amadi|Mohammed Bendahma|Mamadou Haïdara|Maxence Tual|Patrick Robine|Cécile Remy-Boutang,Julien Carpentier,103,58613,310110,Comédie dramatique,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/22/15/31/1839923.jpg,3.7,6 mars 2024,"KMBO,Silex Films,Be For Films","Pierre, 33 ans, fleuriste à succès, voit sa vie basculer lorsque sa mère, Judith, fantasque et excessive, débarque dans sa vie après deux ans sans se voir. Pierre n’a qu’une idée, reprendre le cours normal de sa vie, mais rien ne se passe comme prévu. Leurs retrouvailles, aussi inattendues qu’explosives, vont transformer Pierre et Judith à jamais.",La Vie de ma mère,3.9
Jarry|Louna Espinosa|Noé Chabbat|Léonard Signoret|Adèle Soussan|Chantal Ladesou|Firmine Richard|Liliane Rovère|Axel Gallois|Amanda Lear|Daniel Prévost|Stéphane Debac|Sophie Vannier|Brahim Bouhlel|Zoé Diowo-Ceccaldi|Quentin Morlaas|Michel Jonasz|Jean-Luc Bideau|Anne Marivin|Marthe Villalonga|Kev Adams|Enrico Macias|Nicolas Buchoux|Jean Reno|Gérard Depardieu,Claude Zidi Jr.,102,526067,313914,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/11/28/14/21/0273666.jpg,2.6,14 février 2024,"TF1 Films Production,My Family,Apollo Films,Apollo Films,The Man,Ginger & Fed","Quand le foyer Lino Vartan - qui accueille jeunes orphelins et seniors- doit fermer pour raisons sanitaires, Milann n’a pas d’autre choix que de répondre à l’invitation d’une maison de retraite dans le Sud qui les accueille pour l’été. Tous embarquent dans le bus d’Alban. Enfants et anciens découvrent alors le Bel Azur Club, une villa idyllique au bord de la mer : le rêve ! Une aubaine pour ces gamins orphelins qui n’ont jamais eu de vacances... Mais le paradis tourne à l’enfer car anciens et nouveaux pensionnaires du 3e âge se détestent ! La guerre des seniors est déclarée !",Maison de retraite 2,3.0
Jochen Hägele|Yumi Narita|David Mora|Hubert Roulleau|Sébastien Chassagne|Victoria Monfort|Aaliyah Lexilus|Claudia Tagbo|Michèle Laroque|Adeline Toniutti,Stéphane Ben Lahcene,89,116784,311631,Comédie,https://fr.web.img2.acsta.net/c_310_420/pictures/23/12/14/16/16/5709345.jpg,3.2,20 mars 2024,"TF1 Films Production,UGC Distribution,Les films du 24,Newen","Après une soirée pleine d’excès, Bénédicte, célèbre chanteuse d’opéra, voit sa carrière s’écrouler. Fatou, passionnée de karaoké, est la seule à lui tendre la main. Elle a une idée derrière la tête : convaincre Bénédicte de participer au grand concours national de karaoké. La parfaite maîtrise vocale de l’une et la ténacité de l’autre pourraient bien faire des étincelles et les amener très loin.",Karaoké,3.3
Kamel Abdelli|Etienne Parc|Clémence Schreiber|Vincent Lindon|Florent Cheippe|Karole Rocher|Jean-Charles Canu|Gina Jimenez|Alexandra Holzhammer|Myriam Djeljeli|Pascal Vannson|Sandie Masson|Jacky Latulipe|Emmanuel Rausenberger|Mélanie Leclef|Nina Boukhrief,Nicolas Boukhrief,102,55026,313397,Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/05/11/47/5329264.jpg,3.0,6 mars 2024,"Goodfellas,Eskwad,Le Pacte","Jacques Romand est un professeur qui a perdu sa vocation. Témoin d’une agression dans une épicerie de quartier, il permet l’arrestation de l’un des voleurs : Victor, 14 ans. Mais en découvrant le sort de ce gamin déscolarisé que l’on force à voler pour survivre, Jacques va tout mettre en œuvre pour venir en aide à ce jeune parti sur de si mauvais rails. Quitte à affronter ceux qui l’exploitent. En luttant contre les réticences mêmes de Victor pour tenter de lui offrir un avenir meilleur, Jacques va changer son propre destin...",Comme un fils,3.3
Didier Daijardin|Albert Narayaninsamy|Yann Ichon Bella Ola|Céline Loco|Jacqueline Baltus|Nathaly Coualy|Francky Briny|Franck Monier|Ronald Pierre|Gaspar Noé|Elise Cresson|Michel Houellebecq|Blanche Gardin|Rio Marie-Magdelaine|Françoise Lebrun|Jean-Pascal Zadi|Majid Mounsif|Jean-Louis Gautier|Luc Schwarz|Apollinaire Godard|Vincent Volkoff,Guillaume Nicloux,88,12482,307806,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/25/10/07/2642043.jpg,3.2,13 mars 2024,"Les Films du Kiosque,Bac Films","En Guadeloupe, Blanche Gardin préside un concours de sosie consacré à Michel Houellebecq. Michel s’y rend, mais des événements imprévus vont plonger notre duo au cœur d’une intrigue rocambolesque…",Dans la peau de Blanche Houellebecq,2.9
