year,weekend,movie_titles,movie_urls,movie_grosses,movie_distributors
2021,https://www.boxofficemojo.com/weekend/2021W51/?area=FR&ref_=bo_wey_table_2,"Sing 2,The Matrix Resurrections","https://www.boxofficemojo.com/release/rl3710354177/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl489063169/?ref_=bo_we_table_3","$6,091,000,$7,604,$6,091,000,$3,000,000,$4,243,$3,000,000","Universal Pictures International (UPI),Kino Swiat"
2021,https://www.boxofficemojo.com/weekend/2021W50/?area=FR&ref_=bo_wey_table_3,"Spider-Man: No Way Home,Price of Parenting,Vicky and Her Mystery,The Velvet Queen,A Hero,Dragon Princess,The Love Letter,Monster Family 2","https://www.boxofficemojo.com/release/rl841253633/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl3810820865/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl3827598081/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl3844375297/?ref_=bo_we_table_7,https://www.boxofficemojo.com/release/rl3861152513/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl3877929729/?ref_=bo_we_table_15,https://www.boxofficemojo.com/release/rl3626271489/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl3643048705/?ref_=bo_we_table_25","$16,474,518,$18,678,$16,474,518,$1,141,278,$2,904,$1,141,278,$808,300,$1,680,$808,300,$615,723,$2,786,$615,723,$404,103,$2,786,$404,103,$238,931,$1,052,$238,931,$147,127,$1,149,$147,127,$94,849,$357,$94,849","Sony Pictures Releasing,UGC Distribution,Gaumont,Haut et Court,Memento Films,Gébéka Films,Diaphana Films,Miramax"
2021,https://www.boxofficemojo.com/weekend/2021W49/?area=FR&ref_=bo_wey_table_4,"Les Tuche 4,West Side Story,A Piece of Cake,Rose,Wife of a Spy,Where Is Anne Frank,Her Way","https://www.boxofficemojo.com/release/rl3609363201/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl1176666881/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl3357704961/?ref_=bo_we_table_8,https://www.boxofficemojo.com/release/rl3374482177/?ref_=bo_we_table_13,https://www.boxofficemojo.com/release/rl3391259393/?ref_=bo_we_table_16,https://www.boxofficemojo.com/release/rl3408036609/?ref_=bo_we_table_20,https://www.boxofficemojo.com/release/rl3424813825/?ref_=bo_we_table_22","$5,999,727,$6,514,$5,999,727,$1,107,111,$2,482,$1,107,111,$438,134,$908,$438,134,$243,843,$1,318,$243,843,$175,507,$1,867,$175,507,$129,178,$533,$129,178,$127,966,$1,361,$127,966","Walt Disney Studios Motion Pictures,KMBO,Apollo Films,Le Pacte"
2021,https://www.boxofficemojo.com/weekend/2021W52/?area=FR&ref_=bo_wey_table_1,"The King's Man,The Test,Belle,Deception,The Card Counter,The Best Years,Lamb,Next Door","https://www.boxofficemojo.com/release/rl472285953/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl505840385/?ref_=bo_we_table_7,https://www.boxofficemojo.com/release/rl522617601/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl287736577/?ref_=bo_we_table_15,https://www.boxofficemojo.com/release/rl304513793/?ref_=bo_we_table_19,https://www.boxofficemojo.com/release/rl321291009/?ref_=bo_we_table_21,https://www.boxofficemojo.com/release/rl338068225/?ref_=bo_we_table_25,https://www.boxofficemojo.com/release/rl371622657/?ref_=bo_we_table_27","$2,102,082,-,$2,482,271,$1,008,970,$2,324,$1,008,970,$382,648,$1,628,$382,648,$261,475,$1,665,$261,475,$181,420,$2,038,$181,420,$158,597,$1,618,$158,597,$87,952,$1,374,$87,952,$57,159,$840,$57,159","Walt Disney Studios Motion Pictures,Apollo Films,Wild Bunch Distribution,Le Pacte,Condor,The Jokers,Eurozoom"
2022,https://www.boxofficemojo.com/weekend/2022W52/?area=FR&ref_=bo_wey_table_1,"M3GAN,Choeur de rockers,Caravaggio's Shadow,The Banshees of Inisherin,Living,Wild Seas,Joyland","https://www.boxofficemojo.com/release/rl2079818497/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl2096595713/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl2113372929/?ref_=bo_we_table_9,https://www.boxofficemojo.com/release/rl2130150145/?ref_=bo_we_table_11,https://www.boxofficemojo.com/release/rl1895269121/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl1912046337/?ref_=bo_we_table_18,https://www.boxofficemojo.com/release/rl1928823553/?ref_=bo_we_table_19","$1,396,239,$4,256,$1,396,239,$783,779,$1,726,$783,779,$589,456,$2,167,$589,456,$557,341,-,$686,339,$217,251,$2,263,$217,251,$211,785,$1,512,$211,785,$193,004,$2,353,$193,004","Universal Pictures International (UPI),UGC Distribution,Le Pacte,Walt Disney Studios Motion Pictures,Miramax,Bac Films,Condor"
2023,https://www.boxofficemojo.com/weekend/2023W52/?area=FR&ref_=bo_wey_table_1,"Les Segpa au ski,Kina & Yuk,Monster,Dream Scenario,5 hectares,Robot Dreams","https://www.boxofficemojo.com/release/rl1028358145/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl810254337/?ref_=bo_we_table_9,https://www.boxofficemojo.com/release/rl827031553/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl843808769/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl860585985/?ref_=bo_we_table_19,https://www.boxofficemojo.com/release/rl877363201/?ref_=bo_we_table_21","$3,733,218,$12,402,$3,733,218,$834,396,$1,741,$834,396,$425,414,$2,250,$425,414,$233,210,$2,242,$233,210,$207,465,$1,430,$207,465,$134,019,$817,$134,019","Apollo Films,UGC Distribution,Le Pacte,Metropolitan Filmexport,Paname Distribution,Wild Bunch Distribution"
2024,https://www.boxofficemojo.com/weekend/2024W12/?area=FR&ref_=bo_wey_table_1,"Immaculate,Karaoké,Off-Season,Bis Repetita,Une famille","https://www.boxofficemojo.com/release/rl2220654593/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl2237431809/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl2254209025/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl2270986241/?ref_=bo_we_table_13,https://www.boxofficemojo.com/release/rl4166811649/?ref_=bo_we_table_20","$739,240,$2,447,$739,240,$625,953,$1,103,$625,953,$623,221,$1,865,$623,221,$294,623,$1,495,$294,623,$177,411,$2,137,$177,411","Metropolitan Filmexport,UGC Distribution,Gaumont,Le Pacte,Nour Films"
2021,https://www.boxofficemojo.com/weekend/2021W46/?area=FR&ref_=bo_wey_table_7,"The Bodin's in the Land of Smile,Hear Me Out,Lovers,Antlers,Magnetic Beats,Bloody Oranges,Memoria,Casablanca Beats","https://www.boxofficemojo.com/release/rl3944645377/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl3961422593/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl3978199809/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl622756609/?ref_=bo_we_table_7,https://www.boxofficemojo.com/release/rl3994977025/?ref_=bo_we_table_20,https://www.boxofficemojo.com/release/rl4011754241/?ref_=bo_we_table_24,https://www.boxofficemojo.com/release/rl3760096001/?ref_=bo_we_table_25,https://www.boxofficemojo.com/release/rl3776873217/?ref_=bo_we_table_26","$3,985,886,$8,167,$3,985,886,$990,693,$2,677,$990,693,$851,861,$2,314,$851,861,$524,116,$2,647,$524,116,$159,435,$1,594,$159,435,$113,584,$1,832,$113,584,$96,203,$1,145,$96,203,$95,839,$720,$95,839","SND Films,Diaphana Films,Wild Bunch Distribution,Walt Disney Studios Motion Pictures,Paname Distribution,The Jokers,New Story,Ad Vitam Distribution"
2024,https://www.boxofficemojo.com/weekend/2024W11/?area=FR&ref_=bo_wey_table_2,"There's Still Tomorrow,Lucky Winners,Wicked Little Letters,Rachel's Game,Maria Montessori,Terrestrial Verses,Being Blanche Houellebecq","https://www.boxofficemojo.com/release/rl1935507457/?ref_=bo_we_table_3,https://www.boxofficemojo.com/release/rl1952284673/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl1969061889/?ref_=bo_we_table_10,https://www.boxofficemojo.com/release/rl1985839105/?ref_=bo_we_table_14,https://www.boxofficemojo.com/release/rl2002616321/?ref_=bo_we_table_15,https://www.boxofficemojo.com/release/rl1750958081/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl1767735297/?ref_=bo_we_table_24","$914,292,$5,315,$914,292,$908,400,$2,210,$908,400,$333,618,$1,684,$333,618,$261,451,$840,$261,451,$246,078,$1,212,$323,780,$207,393,$2,183,$207,393,$79,292,$792,$79,292","Universal Pictures International (UPI),Warner Bros.,StudioCanal,Apollo Films,Ad Vitam Distribution,Bac Films"
2021,https://www.boxofficemojo.com/weekend/2021W45/?area=FR&ref_=bo_wey_table_8,"Aline,Cry Macho,Haute couture,Three Floors","https://www.boxofficemojo.com/release/rl2367652609/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl2384429825/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl2401207041/?ref_=bo_we_table_9,https://www.boxofficemojo.com/release/rl2149548801/?ref_=bo_we_table_10","$4,060,048,$5,867,$4,060,048,$824,028,$1,791,$824,028,$619,275,$1,965,$619,275,$462,373,$2,719,$462,373","Gaumont,Warner Bros.,UGC Distribution,Le Pacte"
2023,https://www.boxofficemojo.com/weekend/2023W51/?area=FR&ref_=bo_wey_table_2,Next Goal Wins,https://www.boxofficemojo.com/release/rl1950908417/?ref_=bo_we_table_4,"$105,539,-,$126,332",Walt Disney Pictures
